,Region,Age_range,Sex,Education_level,Climate_threats,Climate_change,Environmental_risks_5y,Environmental_risks_10y,Climate_effects,Participation,Informed_status,Awareness_Campaigns,Information_dessemination,Climate_losses,Priority_issues,Climate_Exacerbation,WaterSecurity_factors,EffectOn_yield,Rate_of_Effect,Climate_effect_yield,Droughts_severity,Measures_awareness,Mitigation_measures
0,Otjozondjupa,15-24,Male,University,"Poverty, Lack of clean water, Economic Situation, Climate Change","Change in temperature, Change in weather conditions, pollution, Change in climate due to global warming, Change in the environment, Change in climate due to human",All of the above,All of the above,"Sea level rise, Flooding, Rising temperatures, Drought, Global warming, Increasing intensity and frequency of extreme weather events",1.0,Yes,None,"Radio, Television, Newspapers/magazines","Damage to property, Loss in Agriculture Production, Loss in income","Deforestation, Climate Change, Water Conservation",4.0,Aging boreholes,Yes,2.0,3.0,4.0,No,
1,Omusati,15-24,Female,University,"Poverty, Biodiversity (habitats) loss, Climate Change","Change in temperature, Change in weather conditions, Change in climate due to global warming, Change in the environment, Change in climate due to human",All of the above,All of the above,"Sea level rise, Rising temperatures, Drought, Global warming, Increasing intensity and frequency of extreme weather events",3.0,To some extent,1,"Radio, Television, Newspapers/magazines, Awareness Campaigns","Loss in Agriculture Production, Loss in income, Lack of potable water","Deforestation, Climate Change, Water Conservation",5.0,,Yes,2.0,2.0,3.0,Yes,Planting more trees
2,Ohangwena,35-44,Female,University,"Poverty, Lack of clean water, Armed Conflicts, Economic Situation, Biodiversity (habitats) loss, Spread of Infectious diseases, Climate Change, Increasing Population","Change in temperature, Change in weather conditions, pollution, Change in climate due to global warming, Change in the environment, Change in climate due to human","Rain, Temperature, Droughts, Floods, Season shift, All of the above",All of the above,"Sea level rise, Flooding, Rising temperatures, Drought, Global warming, Increasing intensity and frequency of extreme weather events",5.0,Yes,1,Radio,"Loss in Agriculture Production, Health Hazards, Loss in income, Lack of potable water","Urbanization, Deforestation, Environmental Education",5.0,"The lack of harvesting floodwaters. Also, an aquifer was saud to have been found in Ohangwena  region, but not much is being done to fully source the water from it. ",Yes,3.0,5.0,5.0,Yes,Information is key and as such communities should be informed about the concept of climate change. 
3,Khomas,15-24,Male,University,"Poverty, Lack of clean water, Economic Situation, Spread of Infectious diseases, Climate Change, Increasing Population","Change in temperature, Change in weather conditions, Change in climate due to global warming, Change in the environment, Change in climate due to human","Rain, Temperature, Droughts, Floods","Rain, Temperature, Droughts, Floods","Sea level rise, Flooding, Rising temperatures, Drought, Global warming, Increasing intensity and frequency of extreme weather events, Migration to Cities",3.0,Yes,None,Radio,"Loss in Agriculture Production, Loss in income","Urbanization, Deforestation, Climate Change",4.0,Increasing population ,Yes,2.0,3.0,5.0,No,"Using more green energy, "
4,Ohangwena,25-34,Male,University,"Poverty, Lack of clean water, Economic Situation, Biodiversity (habitats) loss, Climate Change, Increasing Population","Change in climate due to global warming, Change in the environment, Change in climate due to human","Rain, Temperature, Droughts","Rain, Temperature, Floods","Rising temperatures, Drought",5.0,No,None,Awareness Campaigns,"Loss in Agriculture Production, Loss in income, Lack of potable water","Climate Change, Recycling, Water Conservation",,,,,,,,
5,Ohangwena,25-34,Female,University,,Change in climate due to global warming,All of the above,All of the above,Global warming,5.0,Yes,1,Radio,Loss in Agriculture Production,"Climate Change, Pollution, Environmental Education",4.0,Lack of enough rainfall ,Yes,3.0,4.0,5.0,No,
6,Ohangwena,35-44,Male,University,"Poverty, Lack of clean water, Economic Situation, Climate Change","Change in temperature, Change in climate due to global warming, Change in the environment","Rain, Temperature, Floods","Rain, Temperature, Floods","Flooding, Rising temperatures, Drought",5.0,No,None,Radio,"Loss in Agriculture Production, Loss in income, Lack of potable water","Climate Change, Environmental Education, Water Conservation",5.0,Livestock evaporation lack of dams or water harvesting skills and equipment ,Yes,3.0,3.0,3.0,Yes,Drilling of borehole and water harvesting equipment 
7,Omusati,15-24,Male,University,"Poverty, Lack of clean water, Economic Situation, Spread of Infectious diseases, Increasing Population","Change in temperature, Change in climate due to global warming","Rain, Temperature, Droughts","Rain, Temperature, Droughts, Season shift","Rising temperatures, Global warming, Increasing intensity and frequency of extreme weather events",3.0,To some extent,None,"Radio, Town criers","Loss in Agriculture Production, Loss in income, Lack of potable water","Urbanization, Recycling, Water Conservation",5.0,Lqck of proper water filtration and recycling ,Yes,2.0,3.0,4.0,Maybe,
8,Khomas,15-24,Female,University,"Poverty, Lack of clean water, Biodiversity (habitats) loss","Change in weather conditions, pollution, Change in climate due to human","Droughts, All of the above",All of the above,Flooding,3.0,Yes,2,"Radio, Television","Health Hazards, Loss in income, Lack of potable water","Desertification, Pollution",3.0,,I Don't Know,2.0,4.0,4.0,Maybe,
9,Ohangwena,15-24,Male,University,Poverty,Change in climate due to global warming,All of the above,All of the above,"Sea level rise, Flooding, Rising temperatures, Drought",4.0,Yes,None,Radio,"Loss in Agriculture Production, Loss in income","Climate Change, Pollution, Water Conservation",4.0,,Yes,3.0,4.0,3.0,Maybe,
